"id","name","symbol","slug","num_market_pairs","date_added","tags","max_supply","circulating_supply","total_supply","platform","cmc_rank","last_updated","quote"
1382,"NoLimitCoin","NLC2","nolimitcoin",4,"2016-09-12T00:00:00.000Z","[""pos""]",,617510592.779711,617510592.780811,,858,"2020-09-26T03:51:06.000Z","{""USD"":{""price"":0.00398534543583,""volume_24h"":414.413816092953,""percent_change_1h"":0.0213387,""percent_change_24h"":2.1221,""percent_change_7d"":0.974709,""market_cap"":2460993.0225112992,""last_updated"":""2020-09-26T03:51:06.000Z""}}"
6670,"Axis DeFi","AXIS","axis-defi",2,"2020-08-22T00:00:00.000Z","[]",24000000,2084401,24000000,"{""id"":1027,""name"":""Ethereum"",""symbol"":""ETH"",""slug"":""ethereum"",""token_address"":""0xecc0f1f860a82ab3b442382d93853c02d6384389""}",857,"2020-09-26T03:51:28.000Z","{""USD"":{""price"":1.18009517608,""volume_24h"":45002.3250162779,""percent_change_1h"":-4.91964,""percent_change_24h"":-8.1832,""percent_change_7d"":-19.0291,""market_cap"":2459791.565116328,""last_updated"":""2020-09-26T03:51:28.000Z""}}"
5541,"Xaya","CHI","xaya",6,"2020-05-05T00:00:00.000Z","[]",77303932,44116335.3846368,53258462.3846368,,859,"2020-09-26T03:51:24.000Z","{""USD"":{""price"":0.0557473826816,""volume_24h"":148125.368114748,""percent_change_1h"":0.134768,""percent_change_24h"":-1.99947,""percent_change_7d"":-12.3265,""market_cap"":2459370.2311971583,""last_updated"":""2020-09-26T03:51:24.000Z""}}"
4752,"CUTcoin","CUT","cutcoin",4,"2019-11-19T00:00:00.000Z","[]",200000000,114639245.126,118639245.126,,860,"2020-09-26T03:51:23.000Z","{""USD"":{""price"":0.0214504060518,""volume_24h"":10941.8171462839,""percent_change_1h"":0.0167011,""percent_change_24h"":-2.71445,""percent_change_7d"":-5.2217,""market_cap"":2459058.357424534,""last_updated"":""2020-09-26T03:51:23.000Z""}}"
2540,"Litecoin Cash","LCC","litecoin-cash",8,"2018-02-21T00:00:00.000Z","[""mineable"",""pow"",""sha-256"",""medium-of-exchange"",""payments""]",840000000,692297699.958494,692297699.958494,,861,"2020-09-26T03:51:12.000Z","{""USD"":{""price"":0.00353108841235,""volume_24h"":17107.9263538168,""percent_change_1h"":0.0356834,""percent_change_24h"":3.44031,""percent_change_7d"":3.83334,""market_cap"":2444564.386219995,""last_updated"":""2020-09-26T03:51:12.000Z""}}"
3279,"Rotharium","RTH","rotharium",2,"2018-09-12T00:00:00.000Z","[]",,3357270.20862486,5207470.24862486,"{""id"":1027,""name"":""Ethereum"",""symbol"":""ETH"",""slug"":""ethereum"",""token_address"":""0x3fd8f39a962efda04956981c31ab89fab5fb8bc8""}",862,"2020-09-26T03:51:15.000Z","{""USD"":{""price"":0.726815231625,""volume_24h"":120578.94472253,""percent_change_1h"":1.89251,""percent_change_24h"":3.2269,""percent_change_7d"":-3.33555,""market_cap"":2440115.1243093894,""last_updated"":""2020-09-26T03:51:15.000Z""}}"
5428,"Vid","VI","vid",3,"2020-04-10T00:00:00.000Z","[]",888888888,19896108.6888528,888888888,"{""id"":1027,""name"":""Ethereum"",""symbol"":""ETH"",""slug"":""ethereum"",""token_address"":""0xd321ca7cd7a233483b8cd5a11a89e9337e70df84""}",863,"2020-09-26T03:51:24.000Z","{""USD"":{""price"":0.121503775172,""volume_24h"":571845.806289276,""percent_change_1h"":-1.84287,""percent_change_24h"":-10.6528,""percent_change_7d"":-33.0183,""market_cap"":2417452.3169280463,""last_updated"":""2020-09-26T03:51:24.000Z""}}"
6593,"Bitgear","GEAR","bitgear",1,"2020-08-14T00:00:00.000Z","[]",91000000,54628423,91000000,"{""id"":1027,""name"":""Ethereum"",""symbol"":""ETH"",""slug"":""ethereum"",""token_address"":""0x1b980e05943dE3dB3a459C72325338d327B6F5a9""}",864,"2020-09-26T03:51:28.000Z","{""USD"":{""price"":0.0442115626856,""volume_24h"":212736.299876783,""percent_change_1h"":3.98681,""percent_change_24h"":4.91982,""percent_change_7d"":-4.23882,""market_cap"":2415207.947879973,""last_updated"":""2020-09-26T03:51:28.000Z""}}"
5816,"Rewardiqa","REW","rewardiqa",4,"2020-07-13T00:00:00.000Z","[]",21000000000,10000000,21000000000,"{""id"":1027,""name"":""Ethereum"",""symbol"":""ETH"",""slug"":""ethereum"",""token_address"":""0x3FFfFA8F3cc943e43f9f17a83Cbb18f4Bbb9f4AC""}",865,"2020-09-26T03:51:25.000Z","{""USD"":{""price"":0.240152553269,""volume_24h"":699.024367241457,""percent_change_1h"":0.113876,""percent_change_24h"":124.19,""percent_change_7d"":-17.586,""market_cap"":2401525.5326900003,""last_updated"":""2020-09-26T03:51:25.000Z""}}"
4762,"ZVCHAIN","ZVC","zvchain",1,"2019-10-07T00:00:00.000Z","[""mineable""]",5000000000,887741946.566896,899912817.176896,,866,"2020-09-26T03:51:23.000Z","{""USD"":{""price"":0.0027040042851,""volume_24h"":null,""percent_change_1h"":0,""percent_change_24h"":4.26326e-14,""percent_change_7d"":0.0251212,""market_cap"":2400458.0275799017,""last_updated"":""2020-09-26T03:51:23.000Z""}}"
